movie_id,title,title_full,genres_raw
37,Across the Sea of Time,Across the Sea of Time (1995),Documentary
38,It Takes Two,It Takes Two (1995),Comedy
39,Clueless,Clueless (1995),Comedy|Romance
40,"Cry, the Beloved Country","Cry, the Beloved Country (1995)",Drama
41,Richard III,Richard III (1995),Drama|War
42,Dead Presidents,Dead Presidents (1995),Action|Crime|Drama
43,Restoration,Restoration (1995),Drama
44,Mortal Kombat,Mortal Kombat (1995),Action|Adventure
45,To Die For,To Die For (1995),Comedy|Drama
46,How to Make an American Quilt,How to Make an American Quilt (1995),Drama|Romance
47,Seven (Se7en),Seven (Se7en) (1995),Crime|Thriller
48,Pocahontas,Pocahontas (1995),Animation|Children's|Musical|Romance
49,When Night Is Falling,When Night Is Falling (1995),Drama|Romance
50,"Usual Suspects, The","Usual Suspects, The (1995)",Crime|Thriller
51,Guardian Angel,Guardian Angel (1994),Action|Drama|Thriller
52,Mighty Aphrodite,Mighty Aphrodite (1995),Comedy
53,Lamerica,Lamerica (1994),Drama
54,"Big Green, The","Big Green, The (1995)",Children's|Comedy
55,Georgia,Georgia (1995),Drama
56,Kids of the Round Table,Kids of the Round Table (1995),Adventure|Children's|Fantasy
57,Home for the Holidays,Home for the Holidays (1995),Drama
58,"Postino, Il (The Postman)","Postino, Il (The Postman) (1994)",Drama|Romance
59,"Confessional, The (Le Confessionnal)","Confessional, The (Le Confessionnal) (1995)",Drama|Mystery
60,"Indian in the Cupboard, The","Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
61,Eye for an Eye,Eye for an Eye (1996),Drama|Thriller
62,Mr. Holland's Opus,Mr. Holland's Opus (1995),Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
64,Two if by Sea,Two if by Sea (1996),Comedy|Romance
65,Bio-Dome,Bio-Dome (1996),Comedy
66,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller
67,Two Bits,Two Bits (1995),Drama
68,French Twist (Gazon maudit),French Twist (Gazon maudit) (1995),Comedy|Romance
69,Friday,Friday (1995),Comedy
70,From Dusk Till Dawn,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
71,Fair Game,Fair Game (1995),Action
72,Kicking and Screaming,Kicking and Screaming (1995),Comedy|Drama
73,"Misrables, Les","Misrables, Les (1995)",Drama|Musical
74,Bed of Roses,Bed of Roses (1996),Drama|Romance
75,Big Bully,Big Bully (1996),Comedy|Drama
76,Screamers,Screamers (1995),Sci-Fi|Thriller
77,Nico Icon,Nico Icon (1995),Documentary
78,"Crossing Guard, The","Crossing Guard, The (1995)",Drama
79,"Juror, The","Juror, The (1996)",Drama|Thriller
80,"White Balloon, The (Badkonake Sefid )","White Balloon, The (Badkonake Sefid ) (1995)",Drama
81,Things to Do in Denver when You're Dead,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance
82,Antonia's Line (Antonia),Antonia's Line (Antonia) (1995),Drama
83,Once Upon a Time... When We Were Colored,Once Upon a Time... When We Were Colored (1995),Drama
84,Last Summer in the Hamptons,Last Summer in the Hamptons (1995),Comedy|Drama
85,Angels and Insects,Angels and Insects (1995),Drama|Romance
86,White Squall,White Squall (1996),Adventure|Drama
87,Dunston Checks In,Dunston Checks In (1996),Children's|Comedy
88,Black Sheep,Black Sheep (1996),Comedy
89,Nick of Time,Nick of Time (1995),Action|Thriller
90,"Journey of August King, The","Journey of August King, The (1995)",Drama
92,Mary Reilly,Mary Reilly (1996),Drama|Thriller
93,Vampire in Brooklyn,Vampire in Brooklyn (1995),Comedy|Romance
94,Beautiful Girls,Beautiful Girls (1996),Drama
95,Broken Arrow,Broken Arrow (1996),Action|Thriller
96,In the Bleak Midwinter,In the Bleak Midwinter (1995),Comedy
97,"Hate (Haine, La)","Hate (Haine, La) (1995)",Drama
98,Shopping,Shopping (1994),Action|Thriller
99,Heidi Fleiss: Hollywood Madam,Heidi Fleiss: Hollywood Madam (1995),Documentary
100,City Hall,City Hall (1996),Drama|Thriller
101,Bottle Rocket,Bottle Rocket (1996),Comedy
102,Mr. Wrong,Mr. Wrong (1996),Comedy
103,Unforgettable,Unforgettable (1996),Thriller
104,Happy Gilmore,Happy Gilmore (1996),Comedy
105,"Bridges of Madison County, The","Bridges of Madison County, The (1995)",Drama|Romance
106,Nobody Loves Me (Keiner liebt mich),Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
107,Muppet Treasure Island,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical
108,Catwalk,Catwalk (1995),Documentary
109,Headless Body in Topless Bar,Headless Body in Topless Bar (1995),Comedy
110,Braveheart,Braveheart (1995),Action|Drama|War
111,Taxi Driver,Taxi Driver (1976),Drama|Thriller
112,Rumble in the Bronx,Rumble in the Bronx (1995),Action|Adventure|Crime
113,Before and After,Before and After (1996),Drama|Mystery
114,Margaret's Museum,Margaret's Museum (1995),Drama
115,Happiness Is in the Field,Happiness Is in the Field (1995),Comedy
116,Anne Frank Remembered,Anne Frank Remembered (1995),Documentary
117,"Young Poisoner's Handbook, The","Young Poisoner's Handbook, The (1995)",Crime
118,If Lucy Fell,If Lucy Fell (1996),Comedy|Romance
119,"Steal Big, Steal Little","Steal Big, Steal Little (1995)",Comedy
120,Race the Sun,Race the Sun (1996),Drama
121,"Boys of St. Vincent, The","Boys of St. Vincent, The (1993)",Drama
122,Boomerang,Boomerang (1992),Comedy|Romance
123,Chungking Express,Chungking Express (1994),Drama|Mystery|Romance
124,"Star Maker, The (Uomo delle stelle, L')","Star Maker, The (Uomo delle stelle, L') (1995)",Drama
125,Flirting With Disaster,Flirting With Disaster (1996),Comedy
126,"NeverEnding Story III, The","NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy
127,"Silence of the Palace, The (Saimt el Qusur)","Silence of the Palace, The (Saimt el Qusur) (1994)",Drama
128,Jupiter's Wife,Jupiter's Wife (1994),Documentary
129,Pie in the Sky,Pie in the Sky (1995),Comedy|Romance
130,Angela,Angela (1995),Drama
131,Frankie Starlight,Frankie Starlight (1995),Drama|Romance
132,Jade,Jade (1995),Thriller
133,Nueba Yol,Nueba Yol (1995),Comedy|Drama
134,Sonic Outlaws,Sonic Outlaws (1995),Documentary
135,Down Periscope,Down Periscope (1996),Comedy
136,From the Journals of Jean Seberg,From the Journals of Jean Seberg (1995),Documentary
137,Man of the Year,Man of the Year (1995),Documentary
138,"Neon Bible, The","Neon Bible, The (1995)",Drama
139,Target,Target (1995),Action|Drama
140,Up Close and Personal,Up Close and Personal (1996),Drama|Romance
141,"Birdcage, The","Birdcage, The (1996)",Comedy
142,Shadows (Cienie),Shadows (Cienie) (1988),Drama
143,Gospa,Gospa (1995),Drama
144,"Brothers McMullen, The","Brothers McMullen, The (1995)",Comedy
145,Bad Boys,Bad Boys (1995),Action
146,"Amazing Panda Adventure, The","Amazing Panda Adventure, The (1995)",Adventure|Children's
147,"Basketball Diaries, The","Basketball Diaries, The (1995)",Drama
148,"Awfully Big Adventure, An","Awfully Big Adventure, An (1995)",Drama
149,Amateur,Amateur (1994),Crime|Drama|Thriller
150,Apollo 13,Apollo 13 (1995),Drama
151,Rob Roy,Rob Roy (1995),Drama|Romance|War
152,"Addiction, The","Addiction, The (1995)",Horror
153,Batman Forever,Batman Forever (1995),Action|Adventure|Comedy|Crime
154,Belle de jour,Belle de jour (1967),Drama
155,Beyond Rangoon,Beyond Rangoon (1995),Drama|War
156,Blue in the Face,Blue in the Face (1995),Comedy
157,Canadian Bacon,Canadian Bacon (1994),Comedy|War
158,Casper,Casper (1995),Adventure|Children's
159,Clockers,Clockers (1995),Drama
160,Congo,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide,Crimson Tide (1995),Drama|Thriller|War
162,Crumb,Crumb (1994),Documentary
163,Desperado,Desperado (1995),Action|Romance|Thriller
164,Devil in a Blue Dress,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance,Die Hard: With a Vengeance (1995),Action|Thriller
166,"Doom Generation, The","Doom Generation, The (1995)",Comedy|Drama
167,Feast of July,Feast of July (1995),Drama
168,First Knight,First Knight (1995),Action|Adventure|Drama|Romance
169,Free Willy 2: The Adventure Home,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama
170,Hackers,Hackers (1995),Action|Crime|Thriller
171,Jeffrey,Jeffrey (1995),Comedy
172,Johnny Mnemonic,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,Judge Dredd,Judge Dredd (1995),Action|Adventure|Sci-Fi
174,Jury Duty,Jury Duty (1995),Comedy
175,Kids,Kids (1995),Drama
176,Living in Oblivion,Living in Oblivion (1995),Comedy
177,Lord of Illusions,Lord of Illusions (1995),Horror
178,Love & Human Remains,Love & Human Remains (1993),Comedy
179,Mad Love,Mad Love (1995),Drama|Romance
180,Mallrats,Mallrats (1995),Comedy
181,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's
182,Moonlight and Valentino,Moonlight and Valentino (1995),Drama|Romance
183,Mute Witness,Mute Witness (1994),Thriller
184,Nadja,Nadja (1994),Drama
185,"Net, The","Net, The (1995)",Sci-Fi|Thriller
186,Nine Months,Nine Months (1995),Comedy
187,Party Girl,Party Girl (1995),Comedy
188,"Prophecy, The","Prophecy, The (1995)",Horror
189,Reckless,Reckless (1995),Comedy
190,Safe,Safe (1995),Thriller
191,"Scarlet Letter, The","Scarlet Letter, The (1995)",Drama
192,"Show, The","Show, The (1995)",Documentary
193,Showgirls,Showgirls (1995),Drama
194,Smoke,Smoke (1995),Drama
195,Something to Talk About,Something to Talk About (1995),Comedy|Drama|Romance
196,Species,Species (1995),Horror|Sci-Fi
197,"Stars Fell on Henrietta, The","Stars Fell on Henrietta, The (1995)",Drama
198,Strange Days,Strange Days (1995),Action|Crime|Sci-Fi
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
200,"Tie That Binds, The","Tie That Binds, The (1995)",Thriller
201,Three Wishes,Three Wishes (1995),Drama
202,Total Eclipse,Total Eclipse (1995),Drama|Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
204,Under Siege 2: Dark Territory,Under Siege 2: Dark Territory (1995),Action
205,Unstrung Heroes,Unstrung Heroes (1995),Comedy|Drama
206,Unzipped,Unzipped (1995),Documentary
207,"Walk in the Clouds, A","Walk in the Clouds, A (1995)",Drama|Romance
208,Waterworld,Waterworld (1995),Action|Adventure
209,White Man's Burden,White Man's Burden (1995),Drama
210,Wild Bill,Wild Bill (1995),Western
211,"Browning Version, The","Browning Version, The (1994)",Drama
212,Bushwhacked,Bushwhacked (1995),Comedy
213,Burnt By the Sun (Utomlyonnye solntsem),Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
214,Before the Rain (Pred dozhdot),Before the Rain (Pred dozhdot) (1994),Drama
215,Before Sunrise,Before Sunrise (1995),Drama|Romance
216,Billy Madison,Billy Madison (1995),Comedy
217,"Babysitter, The","Babysitter, The (1995)",Drama|Thriller
218,Boys on the Side,Boys on the Side (1995),Comedy|Drama
219,"Cure, The","Cure, The (1995)",Drama
220,Castle Freak,Castle Freak (1995),Horror
222,Circle of Friends,Circle of Friends (1995),Drama|Romance
223,Clerks,Clerks (1994),Comedy
224,Don Juan DeMarco,Don Juan DeMarco (1995),Comedy|Drama|Romance
225,Disclosure,Disclosure (1994),Drama|Thriller
226,Dream Man,Dream Man (1995),Thriller
227,Drop Zone,Drop Zone (1994),Action
228,Destiny Turns on the Radio,Destiny Turns on the Radio (1995),Comedy
229,Death and the Maiden,Death and the Maiden (1994),Drama|Thriller
230,Dolores Claiborne,Dolores Claiborne (1994),Drama|Thriller
231,Dumb & Dumber,Dumb & Dumber (1994),Comedy
232,Eat Drink Man Woman,Eat Drink Man Woman (1994),Comedy|Drama
233,Exotica,Exotica (1994),Drama
234,Exit to Eden,Exit to Eden (1994),Comedy
235,Ed Wood,Ed Wood (1994),Comedy|Drama
236,French Kiss,French Kiss (1995),Comedy|Romance
237,Forget Paris,Forget Paris (1995),Comedy|Romance
238,Far From Home: The Adventures of Yellow Dog,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's
239,"Goofy Movie, A","Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance
240,Hideaway,Hideaway (1995),Thriller
241,Fluke,Fluke (1995),Children's|Drama
242,Farinelli: il castrato,Farinelli: il castrato (1994),Drama|Musical
243,Gordy,Gordy (1995),Comedy
244,Gumby: The Movie,Gumby: The Movie (1995),Animation|Children's
245,"Glass Shield, The","Glass Shield, The (1994)",Crime|Drama
246,Hoop Dreams,Hoop Dreams (1994),Documentary
247,Heavenly Creatures,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller
248,Houseguest,Houseguest (1994),Comedy
249,Immortal Beloved,Immortal Beloved (1994),Drama|Romance
250,Heavyweights,Heavyweights (1994),Children's|Comedy
251,"Hunted, The","Hunted, The (1995)",Action
252,I.Q.,I.Q. (1994),Comedy|Romance
253,Interview with the Vampire,Interview with the Vampire (1994),Drama|Horror
254,Jefferson in Paris,Jefferson in Paris (1995),Drama
255,"Jerky Boys, The","Jerky Boys, The (1994)",Comedy
256,Junior,Junior (1994),Comedy|Sci-Fi
257,Just Cause,Just Cause (1995),Mystery|Thriller
258,"Kid in King Arthur's Court, A","Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance
259,Kiss of Death,Kiss of Death (1995),Crime|Drama|Thriller
260,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
261,Little Women,Little Women (1994),Drama
262,"Little Princess, A","Little Princess, A (1995)",Children's|Drama
263,Ladybird Ladybird,Ladybird Ladybird (1994),Drama
264,"Enfer, L'","Enfer, L' (1994)",Drama
265,Like Water for Chocolate (Como agua para chocolate),Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
266,Legends of the Fall,Legends of the Fall (1994),Drama|Romance|War|Western
267,Major Payne,Major Payne (1994),Comedy
268,Little Odessa,Little Odessa (1994),Drama
269,My Crazy Life (Mi vida loca),My Crazy Life (Mi vida loca) (1993),Drama
270,Love Affair,Love Affair (1994),Drama|Romance
271,Losing Isaiah,Losing Isaiah (1995),Drama
272,"Madness of King George, The","Madness of King George, The (1994)",Drama
273,Mary Shelley's Frankenstein,Mary Shelley's Frankenstein (1994),Drama|Horror
274,Man of the House,Man of the House (1995),Comedy
275,Mixed Nuts,Mixed Nuts (1994),Comedy
276,Milk Money,Milk Money (1994),Comedy|Romance
277,Miracle on 34th Street,Miracle on 34th Street (1994),Drama
278,Miami Rhapsody,Miami Rhapsody (1995),Comedy
279,My Family,My Family (1995),Drama
280,Murder in the First,Murder in the First (1995),Drama|Thriller
281,Nobody's Fool,Nobody's Fool (1994),Drama
282,Nell,Nell (1994),Drama
283,New Jersey Drive,New Jersey Drive (1995),Crime|Drama
284,New York Cop,New York Cop (1996),Action|Crime
285,Beyond Bedlam,Beyond Bedlam (1993),Drama|Horror
286,Nemesis 2: Nebula,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
287,Nina Takes a Lover,Nina Takes a Lover (1994),Comedy|Romance
288,Natural Born Killers,Natural Born Killers (1994),Action|Thriller
289,Only You,Only You (1994),Comedy|Romance
290,Once Were Warriors,Once Were Warriors (1994),Crime|Drama
291,Poison Ivy II,Poison Ivy II (1995),Thriller
292,Outbreak,Outbreak (1995),Action|Drama|Thriller
293,"Professional, The (a.k.a. Leon: The Professional)","Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
294,"Perez Family, The","Perez Family, The (1995)",Comedy|Romance
295,"Pyromaniac's Love Story, A","Pyromaniac's Love Story, A (1995)",Comedy|Romance
296,Pulp Fiction,Pulp Fiction (1994),Crime|Drama
297,Panther,Panther (1995),Drama
298,Pushing Hands,Pushing Hands (1992),Comedy
299,Priest,Priest (1994),Drama
300,Quiz Show,Quiz Show (1994),Drama
301,Picture Bride,Picture Bride (1995),Drama|Romance
302,Queen Margot (La Reine Margot),Queen Margot (La Reine Margot) (1994),Drama|Romance
303,"Quick and the Dead, The","Quick and the Dead, The (1995)",Action|Adventure|Western
304,Roommates,Roommates (1995),Comedy|Drama
305,Ready to Wear (Pret-A-Porter),Ready to Wear (Pret-A-Porter) (1994),Comedy
306,Three Colors: Red,Three Colors: Red (1994),Drama
307,Three Colors: Blue,Three Colors: Blue (1993),Drama
308,Three Colors: White,Three Colors: White (1994),Drama
309,"Red Firecracker, Green Firecracker","Red Firecracker, Green Firecracker (1994)",Drama
310,Rent-a-Kid,Rent-a-Kid (1995),Comedy
311,Relative Fear,Relative Fear (1994),Horror|Thriller
312,Stuart Saves His Family,Stuart Saves His Family (1995),Comedy
313,"Swan Princess, The","Swan Princess, The (1994)",Animation|Children's
314,"Secret of Roan Inish, The","Secret of Roan Inish, The (1994)",Drama
315,"Specialist, The","Specialist, The (1994)",Action
316,Stargate,Stargate (1994),Action|Adventure|Sci-Fi
317,"Santa Clause, The","Santa Clause, The (1994)",Children's|Comedy|Fantasy
318,"Shawshank Redemption, The","Shawshank Redemption, The (1994)",Drama
319,Shallow Grave,Shallow Grave (1994),Thriller
320,Suture,Suture (1993),Film-Noir|Thriller
321,Strawberry and Chocolate (Fresa y chocolate),Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
322,Swimming with Sharks,Swimming with Sharks (1995),Comedy|Drama
324,"Sum of Us, The","Sum of Us, The (1994)",Comedy
325,National Lampoon's Senior Trip,National Lampoon's Senior Trip (1995),Comedy
326,To Live (Huozhe),To Live (Huozhe) (1994),Drama
327,Tank Girl,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi
328,Tales From the Crypt Presents: Demon Knight,Tales From the Crypt Presents: Demon Knight (1995),Horror
329,Star Trek: Generations,Star Trek: Generations (1994),Action|Adventure|Sci-Fi
330,Tales from the Hood,Tales from the Hood (1995),Comedy|Horror
331,Tom & Viv,Tom & Viv (1994),Drama
332,Village of the Damned,Village of the Damned (1995),Horror|Sci-Fi
333,Tommy Boy,Tommy Boy (1995),Comedy
334,Vanya on 42nd Street,Vanya on 42nd Street (1994),Drama
335,"Underneath, The","Underneath, The (1995)",Mystery|Thriller
336,"Walking Dead, The","Walking Dead, The (1995)",Drama|War
337,What's Eating Gilbert Grape,What's Eating Gilbert Grape (1993),Drama
338,Virtuosity,Virtuosity (1995),Sci-Fi|Thriller
339,While You Were Sleeping,While You Were Sleeping (1995),Comedy|Romance
340,"War, The","War, The (1994)",Adventure|Drama
341,Double Happiness,Double Happiness (1994),Drama
342,Muriel's Wedding,Muriel's Wedding (1994),Comedy|Romance
343,"Baby-Sitters Club, The","Baby-Sitters Club, The (1995)",Children's
344,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective (1994),Comedy
345,"Adventures of Priscilla, Queen of the Desert, The","Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
346,Backbeat,Backbeat (1993),Drama|Musical
347,Bitter Moon,Bitter Moon (1992),Drama
348,Bullets Over Broadway,Bullets Over Broadway (1994),Comedy
349,Clear and Present Danger,Clear and Present Danger (1994),Action|Adventure|Thriller
350,"Client, The","Client, The (1994)",Drama|Mystery|Thriller
351,"Corrina, Corrina","Corrina, Corrina (1994)",Comedy|Drama|Romance
352,Crooklyn,Crooklyn (1994),Comedy
353,"Crow, The","Crow, The (1994)",Action|Romance|Thriller
354,Cobb,Cobb (1994),Drama
355,"Flintstones, The","Flintstones, The (1994)",Children's|Comedy
356,Forrest Gump,Forrest Gump (1994),Comedy|Romance|War
357,Four Weddings and a Funeral,Four Weddings and a Funeral (1994),Comedy|Romance
358,Higher Learning,Higher Learning (1995),Drama
359,I Like It Like That,I Like It Like That (1994),Comedy|Drama|Romance
360,I Love Trouble,I Love Trouble (1994),Action|Comedy
361,It Could Happen to You,It Could Happen to You (1994),Drama|Romance
362,"Jungle Book, The","Jungle Book, The (1994)",Adventure|Children's|Romance
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder)","Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary
364,"Lion King, The","Lion King, The (1994)",Animation|Children's|Musical
365,Little Buddha,Little Buddha (1993),Drama
366,Wes Craven's New Nightmare,Wes Craven's New Nightmare (1994),Horror
367,"Mask, The","Mask, The (1994)",Comedy|Crime|Fantasy
368,Maverick,Maverick (1994),Action|Comedy|Western
369,Mrs. Parker and the Vicious Circle,Mrs. Parker and the Vicious Circle (1994),Drama
370,Naked Gun 33 1/3: The Final Insult,Naked Gun 33 1/3: The Final Insult (1994),Comedy
371,"Paper, The","Paper, The (1994)",Comedy|Drama
372,Reality Bites,Reality Bites (1994),Comedy|Drama
373,Red Rock West,Red Rock West (1992),Thriller
374,Richie Rich,Richie Rich (1994),Children's|Comedy
375,Safe Passage,Safe Passage (1994),Drama
376,"River Wild, The","River Wild, The (1994)",Action|Thriller
377,Speed,Speed (1994),Action|Romance|Thriller
378,Speechless,Speechless (1994),Comedy|Romance
379,Timecop,Timecop (1994),Action|Sci-Fi
380,True Lies,True Lies (1994),Action|Adventure|Comedy|Romance
381,When a Man Loves a Woman,When a Man Loves a Woman (1994),Drama
382,Wolf,Wolf (1994),Drama|Horror
383,Wyatt Earp,Wyatt Earp (1994),Western
384,Bad Company,Bad Company (1995),Action
385,"Man of No Importance, A","Man of No Importance, A (1994)",Drama
386,S.F.W.,S.F.W. (1994),Drama
387,"Low Down Dirty Shame, A","Low Down Dirty Shame, A (1994)",Action|Comedy
388,Boys Life,Boys Life (1995),Drama
389,"Colonel Chabert, Le","Colonel Chabert, Le (1994)",Drama|Romance|War
390,Faster Pussycat! Kill! Kill!,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama
391,Jason's Lyric,Jason's Lyric (1994),Crime|Drama
392,"Secret Adventures of Tom Thumb, The","Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's
393,Street Fighter,Street Fighter (1994),Action
394,Coldblooded,Coldblooded (1995),Action
395,Desert Winds,Desert Winds (1995),Drama
396,Fall Time,Fall Time (1995),Drama
397,"Fear, The","Fear, The (1995)",Horror
398,Frank and Ollie,Frank and Ollie (1995),Documentary
399,Girl in the Cadillac,Girl in the Cadillac (1995),Drama
400,Homage,Homage (1995),Drama
401,Mirage,Mirage (1995),Action|Thriller
402,Open Season,Open Season (1996),Comedy
403,Two Crimes,Two Crimes (1995),Comedy|Crime|Drama
404,Brother Minister: The Assassination of Malcolm X,Brother Minister: The Assassination of Malcolm X (1994),Documentary
405,Highlander III: The Sorcerer,Highlander III: The Sorcerer (1994),Action|Sci-Fi
406,Federal Hill,Federal Hill (1994),Drama
407,In the Mouth of Madness,In the Mouth of Madness (1995),Horror|Thriller
408,8 Seconds,8 Seconds (1994),Drama
409,Above the Rim,Above the Rim (1994),Drama
410,Addams Family Values,Addams Family Values (1993),Comedy
411,You So Crazy,You So Crazy (1994),Comedy
412,"Age of Innocence, The","Age of Innocence, The (1993)",Drama
413,Airheads,Airheads (1994),Comedy
414,"Air Up There, The","Air Up There, The (1994)",Comedy
415,Another Stakeout,Another Stakeout (1993),Comedy|Thriller
416,Bad Girls,Bad Girls (1994),Western
417,Barcelona,Barcelona (1994),Comedy|Romance
418,Being Human,Being Human (1993),Drama
419,"Beverly Hillbillies, The","Beverly Hillbillies, The (1993)",Comedy
420,Beverly Hills Cop III,Beverly Hills Cop III (1994),Action|Comedy
421,Black Beauty,Black Beauty (1994),Adventure|Children's
422,Blink,Blink (1994),Thriller
423,Blown Away,Blown Away (1994),Action|Thriller
424,Blue Chips,Blue Chips (1994),Drama
425,Blue Sky,Blue Sky (1994),Drama|Romance
426,Body Snatchers,Body Snatchers (1993),Horror|Sci-Fi|Thriller
427,Boxing Helena,Boxing Helena (1993),Mystery|Romance|Thriller
428,"Bronx Tale, A","Bronx Tale, A (1993)",Drama
429,Cabin Boy,Cabin Boy (1994),Comedy
430,Calendar Girl,Calendar Girl (1993),Drama
431,Carlito's Way,Carlito's Way (1993),Crime|Drama
432,City Slickers II: The Legend of Curly's Gold,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western
433,Clean Slate,Clean Slate (1994),Comedy
434,Cliffhanger,Cliffhanger (1993),Action|Adventure|Crime
435,Coneheads,Coneheads (1993),Comedy|Sci-Fi
436,Color of Night,Color of Night (1994),Drama|Thriller
437,Cops and Robbersons,Cops and Robbersons (1994),Comedy
438,"Cowboy Way, The","Cowboy Way, The (1994)",Action|Comedy
439,Dangerous Game,Dangerous Game (1993),Drama
440,Dave,Dave (1993),Comedy|Romance
441,Dazed and Confused,Dazed and Confused (1993),Comedy
442,Demolition Man,Demolition Man (1993),Action|Sci-Fi
443,"Endless Summer 2, The","Endless Summer 2, The (1994)",Documentary
444,Even Cowgirls Get the Blues,Even Cowgirls Get the Blues (1993),Comedy|Romance
445,Fatal Instinct,Fatal Instinct (1993),Comedy
446,Farewell My Concubine,Farewell My Concubine (1993),Drama|Romance
447,"Favor, The","Favor, The (1994)",Comedy|Romance
448,Fearless,Fearless (1993),Drama
449,Fear of a Black Hat,Fear of a Black Hat (1993),Comedy
450,With Honors,With Honors (1994),Comedy|Drama
451,Flesh and Bone,Flesh and Bone (1993),Drama|Mystery|Romance
452,Widows' Peak,Widows' Peak (1994),Drama
