user_id,gender,age,age_group,occupation_id,occupation,zipcode
67,Female,50,46-55,5,customer service,60181
68,Male,18,Under18,4,college/grad student,53706
69,Female,25,19-25,1,academic/educator,02143
70,Male,18,Under18,4,college/grad student,53703
71,Male,25,19-25,14,sales/marketing,95008
72,Female,45,36-45,0,other,55122
73,Male,18,Under18,4,college/grad student,53706
74,Male,35,26-35,14,sales/marketing,94530
75,Female,1,Under18,10,K-12 student,01748
76,Male,35,26-35,7,executive/managerial,55413
77,Male,18,Under18,4,college/grad student,15321
78,Female,45,36-45,1,academic/educator,98029
79,Female,45,36-45,0,other,98103
80,Male,56,56+,1,academic/educator,49327
81,Female,25,19-25,0,other,60640
82,Male,25,19-25,17,technician/engineer,48380
83,Female,25,19-25,2,artist,94609
84,Male,18,Under18,4,college/grad student,53140
85,Male,18,Under18,4,college/grad student,94945
86,Female,1,Under18,10,K-12 student,54467
87,Male,25,19-25,14,sales/marketing,48360
88,Female,45,36-45,1,academic/educator,02476
89,Female,56,56+,9,homemaker,85749
90,Male,56,56+,13,retired,85749
91,Male,35,26-35,7,executive/managerial,07650
92,Female,18,Under18,4,college/grad student,44243
93,Male,25,19-25,17,technician/engineer,95825
94,Male,25,19-25,17,technician/engineer,28601
95,Male,45,36-45,0,other,98201
96,Female,25,19-25,16,self-employed,78028
97,Female,35,26-35,3,clerical/admin,66210
98,Female,35,26-35,7,executive/managerial,33547
99,Female,1,Under18,10,K-12 student,19390
100,Male,35,26-35,17,technician/engineer,95401
101,Female,18,Under18,3,clerical/admin,33314
102,Male,35,26-35,19,unemployed,20871
103,Male,45,36-45,7,executive/managerial,92104
104,Male,25,19-25,12,programmer,00926
105,Male,45,36-45,12,programmer,90277
106,Female,35,26-35,11,lawyer,79101
107,Male,45,36-45,18,tradesman/craftsman,63129
108,Male,25,19-25,12,programmer,30316
109,Male,45,36-45,15,scientist,92028
110,Male,25,19-25,2,artist,90803
111,Male,35,26-35,15,scientist,55416
112,Male,25,19-25,16,self-employed,97209
113,Male,18,Under18,12,programmer,37032
114,Female,25,19-25,2,artist,83712
115,Male,25,19-25,17,technician/engineer,28083
116,Male,25,19-25,17,technician/engineer,55744
117,Male,25,19-25,17,technician/engineer,33314
118,Male,35,26-35,17,technician/engineer,22315
119,Female,1,Under18,10,K-12 student,77515
120,Male,25,19-25,11,lawyer,27106
121,Male,35,26-35,7,executive/managerial,75229
122,Female,18,Under18,4,college/grad student,94305
123,Male,35,26-35,9,homemaker,67208
124,Male,56,56+,7,executive/managerial,91356
125,Male,45,36-45,14,sales/marketing,01701
126,Male,18,Under18,9,homemaker,98117
127,Female,45,36-45,3,clerical/admin,01770
128,Male,56,56+,6,doctor/health care,37922
129,Male,25,19-25,11,lawyer,20164
130,Male,35,26-35,17,technician/engineer,50021
131,Male,18,Under18,4,college/grad student,06520
132,Male,25,19-25,17,technician/engineer,99709
133,Female,25,19-25,0,other,55071
134,Male,25,19-25,0,other,66212
135,Male,18,Under18,4,college/grad student,20006
136,Male,18,Under18,2,artist,21202
137,Female,45,36-45,6,doctor/health care,78758
138,Male,18,Under18,20,writer,22203
139,Female,25,19-25,20,writer,45409
140,Female,35,26-35,1,academic/educator,55107
141,Male,35,26-35,13,retired,62035
142,Male,25,19-25,7,executive/managerial,10011
143,Male,18,Under18,3,clerical/admin,64043
144,Male,25,19-25,17,technician/engineer,29401
145,Male,18,Under18,4,college/grad student,19081
146,Female,35,26-35,20,writer,10954
147,Male,18,Under18,4,college/grad student,91360
148,Male,50,46-55,17,technician/engineer,57747
149,Male,25,19-25,1,academic/educator,29205
150,Male,35,26-35,7,executive/managerial,98144
151,Female,25,19-25,20,writer,85013
152,Male,18,Under18,4,college/grad student,48104
153,Male,1,Under18,10,K-12 student,51537
154,Male,50,46-55,20,writer,94530
155,Male,35,26-35,12,programmer,07470
156,Female,45,36-45,7,executive/managerial,14519
157,Male,35,26-35,16,self-employed,12866
158,Male,56,56+,7,executive/managerial,28754
159,Female,45,36-45,0,other,37922
160,Male,35,26-35,7,executive/managerial,13021
161,Male,45,36-45,16,self-employed,98107-2117
162,Female,18,Under18,4,college/grad student,93117
163,Male,18,Under18,4,college/grad student,85013
164,Female,56,56+,13,retired,94566
165,Male,18,Under18,16,self-employed,98502
166,Male,18,Under18,4,college/grad student,92802
167,Female,25,19-25,11,lawyer,10022
168,Female,50,46-55,0,other,46970
169,Male,25,19-25,7,executive/managerial,55439
170,Male,25,19-25,11,lawyer,07002
171,Female,50,46-55,17,technician/engineer,55441
172,Male,25,19-25,3,clerical/admin,07661
173,Male,25,19-25,0,other,45237
174,Male,25,19-25,16,self-employed,21203
175,Female,25,19-25,2,artist,95123
176,Female,18,Under18,3,clerical/admin,55016
177,Male,50,46-55,1,academic/educator,54016
178,Male,56,56+,17,technician/engineer,53705
179,Male,25,19-25,0,other,02135
180,Male,45,36-45,12,programmer,01603
181,Male,18,Under18,17,technician/engineer,33186
182,Male,18,Under18,4,college/grad student,03052
183,Female,45,36-45,1,academic/educator,55407
184,Female,25,19-25,0,other,19001
185,Male,45,36-45,0,other,14468
186,Male,18,Under18,5,customer service,91767
187,Female,45,36-45,1,academic/educator,94061
188,Male,56,56+,16,self-employed,79930
189,Male,18,Under18,0,other,60076
190,Male,25,19-25,17,technician/engineer,55125
191,Male,18,Under18,4,college/grad student,04915
192,Male,18,Under18,1,academic/educator,10977
193,Female,45,36-45,15,scientist,44106
194,Female,1,Under18,10,K-12 student,29146
195,Male,25,19-25,12,programmer,10458
196,Female,35,26-35,9,homemaker,94587
197,Male,18,Under18,14,sales/marketing,10023
198,Male,25,19-25,12,programmer,55108
199,Male,18,Under18,4,college/grad student,83706
200,Female,18,Under18,4,college/grad student,84321
201,Female,35,26-35,2,artist,55117
202,Male,18,Under18,4,college/grad student,53706
203,Female,18,Under18,4,college/grad student,53715
204,Male,25,19-25,7,executive/managerial,92123
205,Male,35,26-35,12,programmer,97333
206,Male,25,19-25,17,technician/engineer,20194
207,Male,25,19-25,12,programmer,94115
208,Male,35,26-35,17,technician/engineer,55432
209,Male,35,26-35,1,academic/educator,90048
210,Female,1,Under18,10,K-12 student,25801
211,Male,45,36-45,17,technician/engineer,90620
212,Male,25,19-25,16,self-employed,53714
213,Female,18,Under18,4,college/grad student,01609
214,Male,18,Under18,20,writer,80218
215,Male,35,26-35,14,sales/marketing,92075
216,Male,45,36-45,13,retired,52761
217,Male,18,Under18,4,college/grad student,22903
218,Male,35,26-35,14,sales/marketing,95822
219,Female,25,19-25,4,college/grad student,55113
220,Male,25,19-25,12,programmer,22903
221,Female,25,19-25,0,other,94063
222,Male,25,19-25,1,academic/educator,55116
223,Male,25,19-25,17,technician/engineer,28262
224,Female,18,Under18,4,college/grad student,14850
225,Male,25,19-25,7,executive/managerial,11215
226,Male,35,26-35,1,academic/educator,94518
227,Male,35,26-35,20,writer,90291
228,Male,25,19-25,15,scientist,55455
229,Male,18,Under18,10,K-12 student,04576
230,Male,45,36-45,1,academic/educator,43210
231,Male,25,19-25,3,clerical/admin,55455
232,Male,25,19-25,20,writer,55408
233,Female,45,36-45,20,writer,37919-4204
234,Male,35,26-35,7,executive/managerial,39652
235,Male,25,19-25,0,other,98153
236,Male,25,19-25,5,customer service,55126
237,Male,25,19-25,6,doctor/health care,46835
238,Female,50,46-55,7,executive/managerial,90291
239,Male,18,Under18,19,unemployed,94618
240,Male,50,46-55,17,technician/engineer,55113
241,Male,35,26-35,20,writer,55121
242,Female,18,Under18,4,college/grad student,53706
243,Male,25,19-25,16,self-employed,11576
244,Male,50,46-55,7,executive/managerial,19072
245,Male,35,26-35,16,self-employed,66046
246,Female,18,Under18,4,college/grad student,60625
247,Male,25,19-25,17,technician/engineer,94404
248,Male,18,Under18,17,technician/engineer,72703
249,Female,18,Under18,14,sales/marketing,48126
250,Male,35,26-35,16,self-employed,11229
251,Male,56,56+,17,technician/engineer,55105
252,Male,25,19-25,12,programmer,94112
253,Female,25,19-25,11,lawyer,97370
254,Male,35,26-35,17,technician/engineer,49015
255,Male,35,26-35,0,other,85310
256,Male,45,36-45,16,self-employed,55076
257,Male,18,Under18,18,tradesman/craftsman,55113
258,Male,25,19-25,7,executive/managerial,55436
259,Male,25,19-25,1,academic/educator,60615
260,Male,18,Under18,19,unemployed,98126
261,Male,25,19-25,20,writer,75801
262,Female,25,19-25,1,academic/educator,68503
263,Female,25,19-25,7,executive/managerial,22304
264,Male,35,26-35,0,other,20755
265,Female,35,26-35,7,executive/managerial,55116
266,Male,35,26-35,11,lawyer,75229
267,Male,45,36-45,12,programmer,55001
268,Female,18,Under18,12,programmer,29708
269,Male,25,19-25,2,artist,55408
270,Male,50,46-55,14,sales/marketing,55414
271,Male,18,Under18,4,college/grad student,48202
272,Male,18,Under18,0,other,80302
273,Male,18,Under18,4,college/grad student,55427
274,Male,18,Under18,4,college/grad student,55455
275,Male,25,19-25,0,other,48162
276,Male,45,36-45,16,self-employed,01982
277,Female,35,26-35,1,academic/educator,98126
278,Male,45,36-45,18,tradesman/craftsman,60482
279,Male,25,19-25,14,sales/marketing,91214
280,Male,50,46-55,7,executive/managerial,19118
281,Female,35,26-35,0,other,94117
282,Male,25,19-25,17,technician/engineer,94401
283,Male,25,19-25,0,other,10003
284,Male,25,19-25,12,programmer,91910
285,Female,35,26-35,0,other,94109
286,Male,25,19-25,1,academic/educator,54601
287,Male,50,46-55,13,retired,94706
288,Female,25,19-25,12,programmer,97119
289,Female,25,19-25,0,other,11801
290,Female,25,19-25,20,writer,94591
291,Male,35,26-35,12,programmer,55110
292,Male,35,26-35,7,executive/managerial,19406
293,Male,56,56+,1,academic/educator,55337-4056
294,Female,45,36-45,9,homemaker,43147
295,Male,18,Under18,0,other,80203
296,Male,50,46-55,5,customer service,89432
297,Male,18,Under18,2,artist,97211
298,Female,18,Under18,4,college/grad student,19010
299,Male,25,19-25,12,programmer,97370
300,Male,25,19-25,7,executive/managerial,78664
301,Male,18,Under18,4,college/grad student,61820
302,Male,18,Under18,4,college/grad student,04901
303,Male,25,19-25,7,executive/managerial,20006
304,Male,25,19-25,0,other,55414
305,Female,18,Under18,0,other,55414
306,Male,18,Under18,0,other,53051
307,Male,50,46-55,16,self-employed,90027
308,Male,25,19-25,2,artist,10025
309,Male,25,19-25,4,college/grad student,16801
310,Female,18,Under18,4,college/grad student,31207
311,Male,18,Under18,4,college/grad student,31201
312,Female,50,46-55,2,artist,22207
313,Female,18,Under18,4,college/grad student,02138
314,Female,56,56+,9,homemaker,46911
315,Female,56,56+,1,academic/educator,55105
316,Male,56,56+,13,retired,90740
317,Male,35,26-35,7,executive/managerial,38555
318,Female,56,56+,13,retired,55104
319,Female,50,46-55,6,doctor/health care,33436
320,Male,35,26-35,6,doctor/health care,99516
321,Male,18,Under18,4,college/grad student,55128
322,Male,56,56+,17,technician/engineer,55117
323,Male,45,36-45,12,programmer,53716
324,Male,35,26-35,17,technician/engineer,55106
325,Female,50,46-55,3,clerical/admin,55112
326,Male,50,46-55,11,lawyer,25302
327,Male,35,26-35,18,tradesman/craftsman,55448
328,Male,35,26-35,12,programmer,80401
329,Male,35,26-35,7,executive/managerial,02115
330,Male,56,56+,7,executive/managerial,92065
331,Male,25,19-25,7,executive/managerial,55902
332,Male,50,46-55,1,academic/educator,55109
333,Male,35,26-35,2,artist,55410
334,Female,56,56+,2,artist,55113
335,Male,35,26-35,18,tradesman/craftsman,55434
336,Male,18,Under18,0,other,98765
337,Male,18,Under18,19,unemployed,80205
338,Male,35,26-35,7,executive/managerial,55116
339,Male,50,46-55,7,executive/managerial,80207
340,Female,25,19-25,3,clerical/admin,28001
341,Female,56,56+,13,retired,92119
342,Male,18,Under18,12,programmer,55076
343,Female,35,26-35,3,clerical/admin,55127
344,Male,35,26-35,14,sales/marketing,75034
345,Male,25,19-25,12,programmer,94114
346,Female,25,19-25,0,other,55110
347,Female,56,56+,1,academic/educator,55305
348,Male,50,46-55,7,executive/managerial,55110
349,Male,1,Under18,10,K-12 student,08035
350,Male,45,36-45,20,writer,08035
351,Male,18,Under18,4,college/grad student,55105
352,Male,18,Under18,4,college/grad student,60115
353,Female,35,26-35,7,executive/managerial,92625
354,Male,35,26-35,1,academic/educator,55117
355,Male,18,Under18,3,clerical/admin,55107
356,Male,56,56+,20,writer,55101
357,Male,18,Under18,0,other,98103
358,Female,56,56+,1,academic/educator,20815
359,Male,25,19-25,17,technician/engineer,55128
360,Male,35,26-35,17,technician/engineer,28208
361,Female,25,19-25,14,sales/marketing,94115
362,Male,35,26-35,20,writer,55407
363,Male,18,Under18,10,K-12 student,55419
364,Female,35,26-35,1,academic/educator,46815
365,Female,18,Under18,4,college/grad student,02138
366,Male,50,46-55,15,scientist,55126
367,Male,50,46-55,12,programmer,55421
368,Male,25,19-25,0,other,90293
369,Male,35,26-35,1,academic/educator,55110
370,Male,18,Under18,17,technician/engineer,22304
371,Male,18,Under18,4,college/grad student,02141
372,Female,18,Under18,4,college/grad student,72227
373,Female,25,19-25,2,artist,55347
374,Female,35,26-35,14,sales/marketing,55346
375,Male,25,19-25,2,artist,55106
376,Male,35,26-35,1,academic/educator,80026
377,Male,25,19-25,17,technician/engineer,55418
378,Female,18,Under18,0,other,55105
379,Female,35,26-35,1,academic/educator,54822
380,Male,25,19-25,2,artist,92024
381,Male,35,26-35,17,technician/engineer,89015
382,Female,35,26-35,20,writer,66205
383,Female,25,19-25,7,executive/managerial,78757
384,Male,25,19-25,11,lawyer,55075
385,Male,25,19-25,6,doctor/health care,68131
386,Male,25,19-25,0,other,55408
387,Female,35,26-35,7,executive/managerial,55111
388,Female,25,19-25,0,other,10021
389,Male,25,19-25,6,doctor/health care,68128
390,Male,25,19-25,4,college/grad student,55405
391,Male,45,36-45,11,lawyer,22122
392,Male,18,Under18,7,executive/managerial,20037
393,Male,35,26-35,17,technician/engineer,55402
394,Male,18,Under18,0,other,55013
395,Male,18,Under18,5,customer service,55104
396,Male,25,19-25,1,academic/educator,56187
397,Male,35,26-35,17,technician/engineer,22124
398,Male,25,19-25,17,technician/engineer,55454
399,Female,35,26-35,6,doctor/health care,55128
400,Female,18,Under18,3,clerical/admin,55422
401,Male,18,Under18,0,other,55129
402,Male,25,19-25,11,lawyer,55427
403,Male,18,Under18,4,college/grad student,02138
404,Male,18,Under18,4,college/grad student,10128
405,Male,56,56+,1,academic/educator,13077
406,Male,25,19-25,20,writer,55105
407,Male,18,Under18,17,technician/engineer,89503
408,Male,25,19-25,11,lawyer,02143
409,Male,18,Under18,12,programmer,55122
410,Female,25,19-25,1,academic/educator,55417
411,Female,45,36-45,1,academic/educator,43214
412,Male,35,26-35,15,scientist,55117
413,Male,25,19-25,11,lawyer,55409
414,Male,25,19-25,0,other,55317
415,Female,35,26-35,0,other,55406
416,Male,45,36-45,14,sales/marketing,55076
417,Female,25,19-25,0,other,50613
418,Female,25,19-25,3,clerical/admin,54016
419,Male,18,Under18,3,clerical/admin,55422
420,Male,35,26-35,1,academic/educator,55406
421,Female,45,36-45,3,clerical/admin,55125
422,Male,56,56+,17,technician/engineer,55104
423,Male,18,Under18,4,college/grad student,55455
424,Male,25,19-25,17,technician/engineer,55112
425,Male,25,19-25,12,programmer,55303
426,Male,18,Under18,4,college/grad student,55455
427,Male,35,26-35,12,programmer,55104
428,Female,18,Under18,4,college/grad student,55455
429,Male,18,Under18,0,other,54901
430,Female,18,Under18,10,K-12 student,55306
431,Male,18,Under18,10,K-12 student,55303
432,Male,45,36-45,16,self-employed,55306
433,Male,50,46-55,6,doctor/health care,55115
434,Female,45,36-45,3,clerical/admin,98155
435,Male,25,19-25,7,executive/managerial,55125
436,Male,18,Under18,4,college/grad student,43023
437,Male,35,26-35,17,technician/engineer,55030
438,Male,18,Under18,11,lawyer,53705
439,Male,35,26-35,14,sales/marketing,55129
440,Male,56,56+,1,academic/educator,32940
441,Male,35,26-35,1,academic/educator,55127
442,Male,25,19-25,1,academic/educator,55105
443,Male,25,19-25,3,clerical/admin,55421
444,Male,56,56+,0,other,55108
445,Male,45,36-45,12,programmer,55117
446,Female,50,46-55,0,other,55042
447,Female,45,36-45,11,lawyer,55105
448,Male,25,19-25,17,technician/engineer,80123
449,Male,25,19-25,7,executive/managerial,85037
450,Male,45,36-45,1,academic/educator,24523
451,Male,56,56+,13,retired,54720
452,Male,50,46-55,17,technician/engineer,55117
453,Male,18,Under18,4,college/grad student,55102
454,Male,25,19-25,20,writer,55092
455,Female,35,26-35,2,artist,55113
456,Male,35,26-35,0,other,55105
457,Male,18,Under18,4,college/grad student,54703
458,Male,50,46-55,16,self-employed,55405-2546
459,Female,18,Under18,4,college/grad student,55105
460,Male,45,36-45,18,tradesman/craftsman,55313
461,Male,50,46-55,7,executive/managerial,55075
462,Male,18,Under18,16,self-employed,55416
463,Male,25,19-25,7,executive/managerial,55105
464,Female,18,Under18,4,college/grad student,55455
465,Male,18,Under18,19,unemployed,94523
466,Male,25,19-25,5,customer service,55405
467,Female,35,26-35,3,clerical/admin,55075
468,Female,1,Under18,10,K-12 student,55082
469,Male,35,26-35,6,doctor/health care,55122
470,Female,1,Under18,10,K-12 student,55068
471,Male,35,26-35,7,executive/managerial,08904
472,Male,35,26-35,0,other,55418
473,Female,18,Under18,4,college/grad student,55112
474,Male,25,19-25,17,technician/engineer,92126
475,Female,25,19-25,2,artist,55421
476,Male,35,26-35,0,other,55127
477,Male,35,26-35,14,sales/marketing,55410
478,Male,50,46-55,16,self-employed,55113
479,Male,25,19-25,12,programmer,55042
480,Female,18,Under18,4,college/grad student,55422
481,Male,45,36-45,7,executive/managerial,55115
482,Male,25,19-25,14,sales/marketing,55305
483,Male,18,Under18,12,programmer,55105
484,Female,1,Under18,10,K-12 student,55104
485,Male,56,56+,7,executive/managerial,55042
486,Male,56,56+,0,other,91367
487,Female,35,26-35,17,technician/engineer,55082
488,Male,25,19-25,12,programmer,55107
489,Male,18,Under18,4,college/grad student,55455
490,Male,1,Under18,10,K-12 student,55345
491,Male,18,Under18,4,college/grad student,56043
492,Male,25,19-25,12,programmer,55112
493,Male,50,46-55,7,executive/managerial,55016
494,Female,35,26-35,0,other,17870
495,Male,18,Under18,10,K-12 student,55421
496,Male,18,Under18,4,college/grad student,55455
497,Female,25,19-25,17,technician/engineer,55412
498,Male,35,26-35,17,technician/engineer,55113
499,Female,25,19-25,1,academic/educator,55108
500,Female,18,Under18,2,artist,55105
501,Male,25,19-25,2,artist,55372
502,Male,35,26-35,6,doctor/health care,55126
503,Male,35,26-35,11,lawyer,73120
504,Male,25,19-25,2,artist,17003
505,Male,35,26-35,17,technician/engineer,37815
506,Male,25,19-25,16,self-employed,55103-1006
507,Female,25,19-25,0,other,55405
508,Male,25,19-25,12,programmer,55418
509,Male,25,19-25,2,artist,55125
510,Male,18,Under18,12,programmer,55109
511,Female,45,36-45,4,college/grad student,15232
512,Male,35,26-35,0,other,55379
513,Male,25,19-25,0,other,55119
514,Male,25,19-25,2,artist,55113
515,Male,25,19-25,1,academic/educator,55406
516,Female,56,56+,14,sales/marketing,55033
517,Female,25,19-25,14,sales/marketing,55408
518,Female,35,26-35,12,programmer,75240
519,Female,35,26-35,14,sales/marketing,55038
520,Female,35,26-35,20,writer,55104
521,Male,56,56+,7,executive/managerial,55105
522,Male,25,19-25,12,programmer,55124
523,Male,50,46-55,7,executive/managerial,55105
524,Male,18,Under18,0,other,91320
525,Male,35,26-35,6,doctor/health care,19027
526,Male,45,36-45,17,technician/engineer,94806
527,Female,25,19-25,2,artist,11201
528,Female,18,Under18,17,technician/engineer,83843
529,Male,35,26-35,12,programmer,92009
530,Male,25,19-25,2,artist,10019
531,Female,18,Under18,14,sales/marketing,22206
532,Male,25,19-25,7,executive/managerial,94301
533,Male,25,19-25,12,programmer,27514
534,Male,25,19-25,15,scientist,55902
535,Male,35,26-35,6,doctor/health care,95370
536,Male,25,19-25,20,writer,01267
537,Male,45,36-45,14,sales/marketing,07704
538,Male,56,56+,16,self-employed,95407
539,Male,25,19-25,2,artist,55103
540,Male,18,Under18,1,academic/educator,15213
541,Female,18,Under18,4,college/grad student,5849574
542,Male,18,Under18,4,college/grad student,78705
543,Male,25,19-25,5,customer service,55057
544,Male,35,26-35,12,programmer,94538
545,Male,35,26-35,17,technician/engineer,01890
546,Female,25,19-25,0,other,37211
547,Male,35,26-35,12,programmer,76109
548,Female,35,26-35,16,self-employed,96860
549,Male,25,19-25,6,doctor/health care,53217
550,Male,45,36-45,8,farmer,21559
551,Male,35,26-35,20,writer,55116
552,Male,50,46-55,18,tradesman/craftsman,23456
553,Male,25,19-25,2,artist,94131
554,Male,25,19-25,12,programmer,94086
555,Male,18,Under18,4,college/grad student,53213
556,Female,25,19-25,9,homemaker,37221
557,Male,56,56+,1,academic/educator,30030
558,Male,35,26-35,20,writer,55108
559,Female,25,19-25,7,executive/managerial,60422
560,Male,45,36-45,15,scientist,81335
561,Female,18,Under18,14,sales/marketing,64060
562,Male,35,26-35,20,writer,48083
563,Male,25,19-25,4,college/grad student,53703
564,Male,45,36-45,1,academic/educator,49419
565,Male,25,19-25,16,self-employed,45242
566,Male,25,19-25,17,technician/engineer,92122
567,Male,35,26-35,20,writer,52570-9634
568,Female,50,46-55,17,technician/engineer,19716
569,Female,18,Under18,4,college/grad student,97339
570,Male,25,19-25,4,college/grad student,33314
571,Male,50,46-55,5,customer service,95401
572,Male,18,Under18,4,college/grad student,61801
573,Female,35,26-35,2,artist,98119
574,Male,25,19-25,19,unemployed,90214
575,Male,25,19-25,12,programmer,92130
576,Female,45,36-45,15,scientist,20910
577,Male,35,26-35,0,other,02115
578,Male,18,Under18,17,technician/engineer,90064
579,Male,25,19-25,5,customer service,32839
580,Male,1,Under18,10,K-12 student,08534
581,Male,50,46-55,14,sales/marketing,73543
582,Male,18,Under18,4,college/grad student,67042
583,Female,25,19-25,0,other,48067
584,Female,25,19-25,0,other,94403
585,Male,18,Under18,1,academic/educator,53703
586,Male,35,26-35,14,sales/marketing,53092
587,Male,25,19-25,20,writer,92649
588,Female,25,19-25,11,lawyer,23220
589,Male,18,Under18,2,artist,90210
590,Female,35,26-35,6,doctor/health care,98032
591,Male,25,19-25,0,other,76201
592,Male,18,Under18,0,other,92103
593,Female,50,46-55,1,academic/educator,91711
594,Female,56,56+,13,retired,60076
595,Male,25,19-25,7,executive/managerial,10019
596,Female,25,19-25,1,academic/educator,01950
597,Male,35,26-35,12,programmer,80206
598,Male,35,26-35,7,executive/managerial,95476
599,Male,50,46-55,6,doctor/health care,53711
600,Male,35,26-35,17,technician/engineer,66209
601,Female,18,Under18,20,writer,06320
602,Female,56,56+,6,doctor/health care,14612
603,Female,25,19-25,6,doctor/health care,32256
604,Male,45,36-45,17,technician/engineer,32256
605,Female,18,Under18,4,college/grad student,44425
606,Female,1,Under18,10,K-12 student,49507
607,Male,25,19-25,0,other,43614
608,Male,18,Under18,4,college/grad student,18011
609,Male,25,19-25,7,executive/managerial,10012
610,Male,25,19-25,4,college/grad student,77025
611,Male,35,26-35,0,other,20715
612,Male,50,46-55,7,executive/managerial,95020
613,Male,35,26-35,20,writer,10562
614,Male,35,26-35,1,academic/educator,90024
615,Male,50,46-55,17,technician/engineer,32951
616,Male,25,19-25,7,executive/managerial,94115
617,Female,25,19-25,7,executive/managerial,92117
618,Male,25,19-25,0,other,74105
619,Female,18,Under18,1,academic/educator,94706
620,Male,18,Under18,0,other,13210
621,Male,18,Under18,4,college/grad student,93560
622,Male,25,19-25,0,other,92612
623,Male,25,19-25,17,technician/engineer,60555
624,Male,25,19-25,1,academic/educator,75207
625,Female,35,26-35,12,programmer,44106
626,Male,18,Under18,4,college/grad student,77005
627,Male,50,46-55,2,artist,97210
628,Female,35,26-35,0,other,20715
629,Female,1,Under18,10,K-12 student,48154
630,Female,35,26-35,14,sales/marketing,80525
631,Male,35,26-35,17,technician/engineer,28601
632,Male,45,36-45,17,technician/engineer,07649
633,Male,25,19-25,17,technician/engineer,94131
634,Female,1,Under18,10,K-12 student,49512
635,Male,56,56+,17,technician/engineer,33785
636,Male,18,Under18,20,writer,92055
637,Male,35,26-35,12,programmer,97132
638,Male,25,19-25,6,doctor/health care,77584
639,Male,45,36-45,17,technician/engineer,85202
640,Male,18,Under18,4,college/grad student,47406
641,Female,35,26-35,0,other,55116
642,Female,35,26-35,1,academic/educator,78155
643,Male,25,19-25,2,artist,23188
644,Male,25,19-25,20,writer,93704
645,Male,35,26-35,20,writer,11215
646,Male,35,26-35,7,executive/managerial,08505
647,Male,35,26-35,12,programmer,85224
648,Female,25,19-25,12,programmer,94131
649,Male,25,19-25,4,college/grad student,80526
650,Male,25,19-25,17,technician/engineer,49445
651,Male,35,26-35,7,executive/managerial,20895
652,Male,18,Under18,20,writer,12222
653,Male,56,56+,13,retired,92660
654,Male,50,46-55,7,executive/managerial,75023
655,Female,25,19-25,2,artist,92629
656,Female,45,36-45,16,self-employed,92106
657,Female,50,46-55,13,retired,34691
